5.301837023363757950e+00,4.707707915377529417e+00,class-1
5.617857549321307431e+00,4.122414957523035106e+00,class-1
4.805456114541875934e+00,3.636137495132071074e+00,class-1
4.905614214454502076e+00,3.082572163136170218e+00,class-1
4.601464094697668372e+00,3.158730479673406588e+00,class-1
6.500296233033745708e+00,3.222972485948368604e+00,class-1
6.589651624712849376e+00,3.380419337159230597e+00,class-1
6.384491426989955976e+00,3.627521868387661108e+00,class-1
4.371850339581945022e+00,4.302165367882976987e+00,class-1
4.662186867585303318e+00,3.036658302212376981e+00,class-1
3.478658238657368784e+00,5.983487631254684302e+00,class-1
4.541230246842459906e+00,4.694082179031160429e+00,class-1
6.624960808020097680e+00,2.371421493070054787e+00,class-1
4.931469662515577390e+00,3.016761765909498294e+00,class-1
6.668529856499329611e+00,3.813186466015300979e+00,class-1
6.309327162727168314e+00,3.428083915919310165e+00,class-1
4.476278506066753593e+00,5.044497945475695744e+00,class-1
5.384276920881913675e+00,3.579320994123477817e+00,class-1
4.558229358421276523e+00,4.544757824242018351e+00,class-1
6.150414266121441820e+00,5.486448361840986720e+00,class-1
1.983429234244939998e+00,6.699449756399943112e+00,class-2
1.264875224222112626e+00,6.625234984715260289e+00,class-2
2.898501367703909537e-02,6.103552314612648466e+00,class-2
2.504086997297881201e+00,7.857040736706185413e+00,class-2
8.255663351788499194e-01,5.894801515123478275e+00,class-2
-1.181421772616394694e+00,6.104099192979534294e+00,class-2
4.965001170618636994e-01,7.273880826238155350e+00,class-2
9.478889748445213925e-01,7.340682643509143013e+00,class-2
1.007191363729239120e+00,5.884914591777715032e+00,class-2
2.996403595246722729e-01,7.706776728792736009e+00,class-2
-1.903683103723907699e-01,7.048261284344061295e+00,class-2
-1.934224456852216001e-01,6.370184606828140694e+00,class-2
2.801594758801412510e+00,6.420072666278617390e+00,class-2
1.615557000129444365e+00,7.586559977320116666e+00,class-2
1.500902678907199084e+00,6.627257816061182361e+00,class-2
1.273204958454374758e+00,8.276525368952100337e+00,class-2
-8.038642489333347463e-02,5.396912990897730467e+00,class-2
4.367864191352017755e-01,6.142957462714240258e+00,class-2
7.218483404701129258e-01,8.036394888612067078e+00,class-2
1.509132563378273062e+00,7.481392036631818065e+00,class-2
